#Om_m =              Om_b =              Om_l =              Om_r =               n_s =             h_100 =                w0 =                w1 =            sigma8 = powerspectrum modus:                    
2.6480000000e-01    4.4800000000e-02    7.3511530166e-01    8.4698336485e-05    9.6300000000e-01    7.1000000000e-01   -1.0000000000e+00    0.0000000000e+00    8.0100000000e-01                   1
#z =                 a = 
1.6280340375e-01    8.5999060269e-01
1.6364247211e-01    8.5937048876e-01
1.6448186924e-01    8.5875102603e-01
1.6532159562e-01    8.5813221325e-01
1.6616165172e-01    8.5751404921e-01
1.6700203802e-01    8.5689653267e-01
1.6784275499e-01    8.5627966242e-01
1.6868380311e-01    8.5566343723e-01
1.6952518286e-01    8.5504785588e-01
1.7036689471e-01    8.5443291716e-01
1.7120893915e-01    8.5381861987e-01
1.7205131665e-01    8.5320496278e-01
1.7289402770e-01    8.5259194470e-01
1.7373707276e-01    8.5197956442e-01
1.7458045233e-01    8.5136782075e-01
1.7542416689e-01    8.5075671249e-01
1.7626821691e-01    8.5014623844e-01
1.7711260287e-01    8.4953639742e-01
1.7795732527e-01    8.4892718823e-01
1.7880238458e-01    8.4831860970e-01
1.7964778129e-01    8.4771066064e-01
1.8049351589e-01    8.4710333987e-01
1.8133958885e-01    8.4649664621e-01
1.8218600066e-01    8.4589057851e-01
1.8303275181e-01    8.4528513557e-01
1.8387984279e-01    8.4468031624e-01
1.8472727407e-01    8.4407611936e-01
1.8557504616e-01    8.4347254376e-01
1.8642315954e-01    8.4286958828e-01
1.8727161469e-01    8.4226725176e-01
1.8812041211e-01    8.4166553306e-01
1.8896955228e-01    8.4106443103e-01
1.8981903570e-01    8.4046394451e-01
1.9066886286e-01    8.3986407237e-01
1.9151903424e-01    8.3926481345e-01
1.9236955035e-01    8.3866616663e-01
1.9322041166e-01    8.3806813077e-01
1.9407161869e-01    8.3747070473e-01
1.9492317191e-01    8.3687388738e-01
1.9577507183e-01    8.3627767760e-01
1.9662731893e-01    8.3568207426e-01
1.9747991372e-01    8.3508707623e-01
1.9833285669e-01    8.3449268241e-01
1.9918614834e-01    8.3389889167e-01
2.0003978915e-01    8.3330570289e-01
2.0089377964e-01    8.3271311497e-01
2.0174812030e-01    8.3212112680e-01
2.0260281162e-01    8.3152973728e-01
2.0345785412e-01    8.3093894529e-01
2.0431324827e-01    8.3034874974e-01
2.0516899460e-01    8.2975914953e-01
2.0602509359e-01    8.2917014357e-01
2.0688154575e-01    8.2858173076e-01
2.0773835158e-01    8.2799391001e-01
2.0859551159e-01    8.2740668024e-01
2.0945302627e-01    8.2682004036e-01
2.1031089613e-01    8.2623398930e-01
2.1116912168e-01    8.2564852596e-01
2.1202770342e-01    8.2506364927e-01
2.1288664185e-01    8.2447935817e-01
2.1374593748e-01    8.2389565157e-01
2.1460559082e-01    8.2331252841e-01
2.1546560238e-01    8.2272998762e-01
2.1632597266e-01    8.2214802814e-01
2.1718670217e-01    8.2156664891e-01
2.1804779142e-01    8.2098584887e-01
2.1890924091e-01    8.2040562696e-01
2.1977105117e-01    8.1982598213e-01
2.2063322269e-01    8.1924691333e-01
2.2149575600e-01    8.1866841951e-01
2.2235865160e-01    8.1809049962e-01
2.2322191000e-01    8.1751315262e-01
2.2408553172e-01    8.1693637747e-01
2.2494951728e-01    8.1636017313e-01
2.2581386717e-01    8.1578453857e-01
2.2667858193e-01    8.1520947274e-01
2.2754366206e-01    8.1463497463e-01
2.2840910808e-01    8.1406104320e-01
2.2927492051e-01    8.1348767742e-01
2.3014109987e-01    8.1291487628e-01
2.3100764666e-01    8.1234263874e-01
2.3187456141e-01    8.1177096380e-01
2.3274184465e-01    8.1119985043e-01
2.3360949688e-01    8.1062929763e-01
2.3447751862e-01    8.1005930437e-01
2.3534591041e-01    8.0948986966e-01
2.3621467275e-01    8.0892099248e-01
2.3708380618e-01    8.0835267183e-01
2.3795331120e-01    8.0778490671e-01
2.3882318836e-01    8.0721769612e-01
2.3969343816e-01    8.0665103906e-01
2.4056406113e-01    8.0608493453e-01
2.4143505780e-01    8.0551938155e-01
2.4230642870e-01    8.0495437913e-01
2.4317817434e-01    8.0438992627e-01
2.4405029526e-01    8.0382602200e-01
2.4492279198e-01    8.0326266532e-01
2.4579566502e-01    8.0269985526e-01
2.4666891493e-01    8.0213759084e-01
2.4754254222e-01    8.0157587109e-01
2.4841654743e-01    8.0101469502e-01
2.4929093109e-01    8.0045406167e-01
2.5016569372e-01    7.9989397008e-01
2.5104083585e-01    7.9933441926e-01
2.5191635803e-01    7.9877540827e-01
2.5279226078e-01    7.9821693613e-01
2.5366854463e-01    7.9765900188e-01
2.5454521012e-01    7.9710160458e-01
2.5542225778e-01    7.9654474325e-01
2.5629968815e-01    7.9598841696e-01
2.5717750176e-01    7.9543262475e-01
2.5805569915e-01    7.9487736566e-01
2.5893428086e-01    7.9432263876e-01
2.5981324742e-01    7.9376844310e-01
2.6069259937e-01    7.9321477774e-01
2.6157233724e-01    7.9266164173e-01
2.6245246159e-01    7.9210903414e-01
2.6333297294e-01    7.9155695404e-01
2.6421387184e-01    7.9100540049e-01
2.6509515883e-01    7.9045437256e-01
2.6597683445e-01    7.8990386932e-01
2.6685889924e-01    7.8935388985e-01
2.6774135374e-01    7.8880443321e-01
2.6862419850e-01    7.8825549850e-01
2.6950743407e-01    7.8770708478e-01
2.7039106098e-01    7.8715919114e-01
2.7127507979e-01    7.8661181667e-01
2.7215949103e-01    7.8606496045e-01
2.7304429526e-01    7.8551862156e-01
2.7392949302e-01    7.8497279911e-01
2.7481508486e-01    7.8442749217e-01
2.7570107133e-01    7.8388269986e-01
2.7658745297e-01    7.8333842125e-01
2.7747423034e-01    7.8279465546e-01
2.7836140399e-01    7.8225140158e-01
2.7924897446e-01    7.8170865872e-01
2.8013694231e-01    7.8116642599e-01
2.8102530810e-01    7.8062470248e-01
2.8191407237e-01    7.8008348731e-01
2.8280323567e-01    7.7954277959e-01
2.8369279857e-01    7.7900257843e-01
2.8458276161e-01    7.7846288296e-01
2.8547312536e-01    7.7792369228e-01
2.8636389036e-01    7.7738500552e-01
2.8725505717e-01    7.7684682179e-01
2.8814662636e-01    7.7630914023e-01
2.8903859847e-01    7.7577195996e-01
2.8993097407e-01    7.7523528010e-01
2.9082375372e-01    7.7469909979e-01
2.9171693797e-01    7.7416341816e-01
2.9261052739e-01    7.7362823434e-01
2.9350452254e-01    7.7309354747e-01
2.9439892398e-01    7.7255935668e-01
2.9529373227e-01    7.7202566112e-01
2.9618894797e-01    7.7149245993e-01
2.9708457165e-01    7.7095975224e-01
2.9798060388e-01    7.7042753722e-01
2.9887704521e-01    7.6989581399e-01
2.9977389621e-01    7.6936458173e-01
3.0067115746e-01    7.6883383957e-01
3.0156882951e-01    7.6830358666e-01
3.0246691293e-01    7.6777382218e-01
3.0336540829e-01    7.6724454526e-01
3.0426431617e-01    7.6671575508e-01
3.0516363712e-01    7.6618745080e-01
3.0606337173e-01    7.6565963157e-01
3.0696352056e-01    7.6513229656e-01
3.0786408417e-01    7.6460544494e-01
3.0876506316e-01    7.6407907588e-01
3.0966645808e-01    7.6355318855e-01
3.1056826951e-01    7.6302778212e-01
3.1147049802e-01    7.6250285577e-01
3.1237314420e-01    7.6197840867e-01
3.1327620861e-01    7.6145444001e-01
3.1417969183e-01    7.6093094895e-01
3.1508359444e-01    7.6040793470e-01
3.1598791701e-01    7.5988539642e-01
3.1689266013e-01    7.5936333331e-01
3.1779782436e-01    7.5884174455e-01
3.1870341030e-01    7.5832062933e-01
3.1960941853e-01    7.5779998685e-01
3.2051584961e-01    7.5727981629e-01
3.2142270413e-01    7.5676011686e-01
3.2232998269e-01    7.5624088775e-01
3.2323768585e-01    7.5572212815e-01
3.2414581420e-01    7.5520383728e-01
3.2505436833e-01    7.5468601433e-01
3.2596334881e-01    7.5416865850e-01
3.2687275625e-01    7.5365176901e-01
3.2778259121e-01    7.5313534506e-01
3.2869285430e-01    7.5261938586e-01
3.2960354609e-01    7.5210389062e-01
3.3051466718e-01    7.5158885856e-01
3.3142621815e-01    7.5107428889e-01
3.3233819959e-01    7.5056018082e-01
3.3325061209e-01    7.5004653358e-01
3.3416345625e-01    7.4953334639e-01
3.3507673266e-01    7.4902061847e-01
3.3599044190e-01    7.4850834904e-01
3.3690458458e-01    7.4799653733e-01
3.3781916127e-01    7.4748518256e-01
3.3873417259e-01    7.4697428397e-01
3.3964961912e-01    7.4646384079e-01
3.4056550146e-01    7.4595385224e-01
3.4148182021e-01    7.4544431757e-01
3.4239857596e-01    7.4493523601e-01
3.4331576931e-01    7.4442660679e-01
3.4423340086e-01    7.4391842917e-01
3.4515147121e-01    7.4341070237e-01
3.4606998096e-01    7.4290342564e-01
3.4698893070e-01    7.4239659823e-01
3.4790832105e-01    7.4189021938e-01
3.4882815259e-01    7.4138428834e-01
3.4974842595e-01    7.4087880436e-01
3.5066914171e-01    7.4037376669e-01
3.5159030048e-01    7.3986917459e-01
3.5251190287e-01    7.3936502731e-01
3.5343394948e-01    7.3886132410e-01
3.5435644092e-01    7.3835806423e-01
3.5527937780e-01    7.3785524696e-01
3.5620276072e-01    7.3735287153e-01
3.5712659029e-01    7.3685093723e-01
3.5805086712e-01    7.3634944332e-01
3.5897559182e-01    7.3584838905e-01
3.5990076501e-01    7.3534777370e-01
3.6082638728e-01    7.3484759654e-01
3.6175245926e-01    7.3434785684e-01
3.6267898155e-01    7.3384855387e-01
3.6360595478e-01    7.3334968691e-01
3.6453337954e-01    7.3285125523e-01
3.6546125647e-01    7.3235325811e-01
3.6638958617e-01    7.3185569483e-01
3.6731836926e-01    7.3135856468e-01
3.6824760635e-01    7.3086186693e-01
3.6917729807e-01    7.3036560087e-01
3.7010744503e-01    7.2986976578e-01
3.7103804786e-01    7.2937436095e-01
3.7196910716e-01    7.2887938568e-01
3.7290062357e-01    7.2838483924e-01
3.7383259770e-01    7.2789072095e-01
3.7476503018e-01    7.2739703007e-01
3.7569792162e-01    7.2690376592e-01
3.7663127266e-01    7.2641092779e-01
3.7756508391e-01    7.2591851498e-01
3.7849935600e-01    7.2542652679e-01
3.7943408956e-01    7.2493496251e-01
3.8036928520e-01    7.2444382146e-01
3.8130494357e-01    7.2395310294e-01
3.8224106529e-01    7.2346280624e-01
3.8317765098e-01    7.2297293070e-01
3.8411470127e-01    7.2248347560e-01
3.8505221681e-01    7.2199444026e-01
3.8599019820e-01    7.2150582399e-01
3.8692864610e-01    7.2101762612e-01
3.8786756112e-01    7.2052984594e-01
3.8880694391e-01    7.2004248279e-01
3.8974679509e-01    7.1955553597e-01
3.9068711530e-01    7.1906900481e-01
3.9162790518e-01    7.1858288863e-01
3.9256916536e-01    7.1809718675e-01
3.9351089648e-01    7.1761189850e-01
3.9445309917e-01    7.1712702320e-01
3.9539577408e-01    7.1664256018e-01
3.9633892185e-01    7.1615850876e-01
3.9728254310e-01    7.1567486829e-01
3.9822663849e-01    7.1519163809e-01
3.9917120866e-01    7.1470881749e-01
4.0011625424e-01    7.1422640582e-01
4.0106177588e-01    7.1374440243e-01
4.0200777423e-01    7.1326280666e-01
4.0295424992e-01    7.1278161783e-01
4.0390120360e-01    7.1230083530e-01
4.0484863592e-01    7.1182045840e-01
4.0579654753e-01    7.1134048647e-01
4.0674493907e-01    7.1086091887e-01
4.0769381119e-01    7.1038175493e-01
4.0864316454e-01    7.0990299401e-01
4.0959299976e-01    7.0942463546e-01
4.1054331752e-01    7.0894667862e-01
4.1149411846e-01    7.0846912284e-01
4.1244540322e-01    7.0799196749e-01
4.1339717248e-01    7.0751521191e-01
4.1434942687e-01    7.0703885546e-01
4.1530216705e-01    7.0656289751e-01
4.1625539369e-01    7.0608733740e-01
4.1720910742e-01    7.0561217449e-01
4.1816330892e-01    7.0513740816e-01
4.1911799883e-01    7.0466303776e-01
4.2007317782e-01    7.0418906266e-01
4.2102884654e-01    7.0371548223e-01
4.2198500566e-01    7.0324229582e-01
4.2294165583e-01    7.0276950281e-01
4.2389879771e-01    7.0229710258e-01
4.2485643198e-01    7.0182509448e-01
4.2581455929e-01    7.0135347790e-01
4.2677318030e-01    7.0088225221e-01
4.2773229568e-01    7.0041141678e-01
4.2869190609e-01    6.9994097099e-01
4.2965201220e-01    6.9947091423e-01
4.3061261468e-01    6.9900124586e-01
4.3157371420e-01    6.9853196526e-01
4.3253531141e-01    6.9806307184e-01
4.3349740700e-01    6.9759456495e-01
4.3446000164e-01    6.9712644400e-01
4.3542309598e-01    6.9665870836e-01
4.3638669071e-01    6.9619135743e-01
4.3735078649e-01    6.9572439059e-01
4.3831538401e-01    6.9525780724e-01
4.3928048393e-01    6.9479160676e-01
4.4024608692e-01    6.9432578854e-01
4.4121219368e-01    6.9386035199e-01
4.4217880486e-01    6.9339529650e-01
4.4314592115e-01    6.9293062146e-01
4.4411354322e-01    6.9246632627e-01
4.4508167176e-01    6.9200241034e-01
4.4605030745e-01    6.9153887306e-01
4.4701945096e-01    6.9107571383e-01
4.4798910297e-01    6.9061293206e-01
4.4895926418e-01    6.9015052716e-01
4.4992993525e-01    6.8968849852e-01
4.5090111688e-01    6.8922684556e-01
4.5187280975e-01    6.8876556768e-01
4.5284501454e-01    6.8830466429e-01
4.5381773194e-01    6.8784413481e-01
4.5479096264e-01    6.8738397865e-01
4.5576470733e-01    6.8692419521e-01
4.5673896669e-01    6.8646478392e-01
4.5771374141e-01    6.8600574419e-01
4.5868903219e-01    6.8554707544e-01
4.5966483971e-01    6.8508877709e-01
4.6064116467e-01    6.8463084855e-01
4.6161800776e-01    6.8417328925e-01
4.6259536967e-01    6.8371609861e-01
4.6357325110e-01    6.8325927605e-01
4.6455165274e-01    6.8280282100e-01
4.6553057529e-01    6.8234673289e-01
4.6651001945e-01    6.8189101113e-01
4.6748998591e-01    6.8143565517e-01
4.6847047538e-01    6.8098066442e-01
4.6945148854e-01    6.8052603832e-01
4.7043302611e-01    6.8007177630e-01
4.7141508878e-01    6.7961787780e-01
4.7239767726e-01    6.7916434225e-01
4.7338079224e-01    6.7871116908e-01
4.7436443444e-01    6.7825835773e-01
4.7534860455e-01    6.7780590765e-01
4.7633330328e-01    6.7735381826e-01
4.7731853134e-01    6.7690208901e-01
4.7830428944e-01    6.7645071934e-01
4.7929057828e-01    6.7599970870e-01
4.8027739857e-01    6.7554905652e-01
4.8126475102e-01    6.7509876226e-01
4.8225263635e-01    6.7464882536e-01
4.8324105526e-01    6.7419924526e-01
4.8423000846e-01    6.7375002143e-01
4.8521949667e-01    6.7330115329e-01
4.8620952061e-01    6.7285264031e-01
4.8720008098e-01    6.7240448195e-01
4.8819117850e-01    6.7195667764e-01
4.8918281390e-01    6.7150922685e-01
4.9017498788e-01    6.7106212903e-01
4.9116770116e-01    6.7061538365e-01
4.9216095447e-01    6.7016899015e-01
4.9315474853e-01    6.6972294800e-01
4.9414908405e-01    6.6927725665e-01
4.9514396176e-01    6.6883191557e-01
4.9613938237e-01    6.6838692423e-01
4.9713534662e-01    6.6794228208e-01
4.9813185523e-01    6.6749798858e-01
4.9912890892e-01    6.6705404322e-01
5.0012650842e-01    6.6661044545e-01
5.0112465445e-01    6.6616719473e-01
5.0212334775e-01    6.6572429055e-01
5.0312258904e-01    6.6528173237e-01
5.0412237905e-01    6.6483951966e-01
5.0512271852e-01    6.6439765190e-01
5.0612360817e-01    6.6395612855e-01
5.0712504874e-01    6.6351494910e-01
5.0812704095e-01    6.6307411302e-01
5.0912958555e-01    6.6263361978e-01
5.1013268327e-01    6.6219346888e-01
5.1113633485e-01    6.6175365977e-01
5.1214054101e-01    6.6131419195e-01
5.1314530251e-01    6.6087506490e-01
5.1415062007e-01    6.6043627810e-01
5.1515649445e-01    6.5999783103e-01
5.1616292637e-01    6.5955972317e-01
5.1716991657e-01    6.5912195402e-01
5.1817746582e-01    6.5868452307e-01
5.1918557483e-01    6.5824742979e-01
5.2019424436e-01    6.5781067367e-01
5.2120347516e-01    6.5737425422e-01
5.2221326797e-01    6.5693817091e-01
5.2322362353e-01    6.5650242325e-01
5.2423454260e-01    6.5606701072e-01
5.2524602592e-01    6.5563193282e-01
5.2625807424e-01    6.5519718905e-01
5.2727068831e-01    6.5476277889e-01
5.2828386889e-01    6.5432870186e-01
5.2929761672e-01    6.5389495744e-01
5.3031193257e-01    6.5346154514e-01
5.3132681717e-01    6.5302846446e-01
5.3234227130e-01    6.5259571489e-01
5.3335829570e-01    6.5216329595e-01
5.3437489113e-01    6.5173120714e-01
5.3539205835e-01    6.5129944796e-01
5.3640979811e-01    6.5086801791e-01
5.3742811119e-01    6.5043691651e-01
5.3844699833e-01    6.5000614326e-01
5.3946646030e-01    6.4957569768e-01
5.4048649786e-01    6.4914557926e-01
5.4150711178e-01    6.4871578753e-01
5.4252830282e-01    6.4828632199e-01
5.4355007174e-01    6.4785718216e-01
5.4457241932e-01    6.4742836755e-01
5.4559534631e-01    6.4699987768e-01
5.4661885349e-01    6.4657171206e-01
5.4764294162e-01    6.4614387021e-01
5.4866761148e-01    6.4571635165e-01
5.4969286384e-01    6.4528915589e-01
5.5071869947e-01    6.4486228247e-01
5.5174511913e-01    6.4443573089e-01
5.5277212361e-01    6.4400950068e-01
5.5379971368e-01    6.4358359137e-01
5.5482789012e-01    6.4315800247e-01
5.5585665370e-01    6.4273273352e-01
5.5688600520e-01    6.4230778404e-01
5.5791594540e-01    6.4188315355e-01
5.5894647507e-01    6.4145884159e-01
5.5997759500e-01    6.4103484768e-01
5.6100930598e-01    6.4061117136e-01
5.6204160877e-01    6.4018781215e-01
5.6307450417e-01    6.3976476958e-01
5.6410799296e-01    6.3934204320e-01
5.6514207593e-01    6.3891963252e-01
5.6617675386e-01    6.3849753710e-01
5.6721202754e-01    6.3807575646e-01
5.6824789775e-01    6.3765429014e-01
5.6928436529e-01    6.3723313767e-01
5.7032143095e-01    6.3681229861e-01
5.7135909552e-01    6.3639177248e-01
5.7239735978e-01    6.3597155883e-01
5.7343622454e-01    6.3555165720e-01
5.7447569059e-01    6.3513206712e-01
5.7551575872e-01    6.3471278816e-01
5.7655642973e-01    6.3429381984e-01
5.7759770441e-01    6.3387516171e-01
5.7863958357e-01    6.3345681333e-01
5.7968206800e-01    6.3303877423e-01
5.8072515851e-01    6.3262104397e-01
5.8176885589e-01    6.3220362209e-01
5.8281316094e-01    6.3178650815e-01
5.8385807447e-01    6.3136970169e-01
5.8490359729e-01    6.3095320227e-01
5.8594973020e-01    6.3053700944e-01
5.8699647400e-01    6.3012112275e-01
5.8804382950e-01    6.2970554176e-01
5.8909179751e-01    6.2929026603e-01
5.9014037884e-01    6.2887529510e-01
5.9118957430e-01    6.2846062855e-01
5.9223938470e-01    6.2804626591e-01
5.9328981085e-01    6.2763220677e-01
5.9434085356e-01    6.2721845066e-01
5.9539251366e-01    6.2680499716e-01
5.9644479195e-01    6.2639184583e-01
5.9749768925e-01    6.2597899623e-01
5.9855120638e-01    6.2556644793e-01
5.9960534415e-01    6.2515420048e-01
6.0066010339e-01    6.2474225345e-01
6.0171548491e-01    6.2433060641e-01
6.0277148955e-01    6.2391925893e-01
6.0382811811e-01    6.2350821058e-01
6.0488537142e-01    6.2309746092e-01
6.0594325031e-01    6.2268700952e-01
6.0700175560e-01    6.2227685596e-01
6.0806088812e-01    6.2186699980e-01
6.0912064870e-01    6.2145744063e-01
6.1018103816e-01    6.2104817800e-01
6.1124205734e-01    6.2063921150e-01
6.1230370706e-01    6.2023054070e-01
6.1336598816e-01    6.1982216517e-01
6.1442890147e-01    6.1941408451e-01
6.1549244781e-01    6.1900629827e-01
6.1655662804e-01    6.1859880604e-01
6.1762144298e-01    6.1819160740e-01
6.1868689347e-01    6.1778470193e-01
